OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33794,2025-092S,2025-05-07T18:00:02.000160,15.98978181,.0001913,43.0014,112.3617,252.7001,262.4775,0,U,63820,999,168,-.16905E-2,-.851726E-2,.24222E-3
STARLINK-34047,2025-092T,2025-05-08T06:00:02.000160,15.98301308,.0001635,43.0010,109.2237,259.8725,257.2458,0,U,63821,999,181,-.17378E-2,-.842756E-2,.2359E-3
STARLINK-34094,2025-092U,2025-05-07T18:00:02.000160,15.99257781,.0001873,43.0015,112.3586,251.6631,264.8457,0,U,63822,999,173,-.16698E-2,-.854732E-2,.24451E-3
STARLINK-34043,2025-092V,2025-05-07T18:00:02.000160,15.99377619,.0001864,43.0017,112.3570,251.6452,265.4962,0,U,63823,999,168,-.16659E-2,-.858541E-2,.24681E-3
STARLINK-34025,2025-092W,2025-05-07T18:00:02.000160,15.99517334,.0001924,43.0016,112.3552,252.3861,265.4209,0,U,63824,999,162,-.16627E-2,-.863714E-2,.24989E-3
STARLINK-33874,2025-092X,2025-05-07T18:00:02.000160,15.99677807,.0001895,43.0016,112.3534,251.8178,266.6905,0,U,63825,999,173,-.16577E-2,-.868998E-2,.25311E-3
STARLINK-33781,2025-092Y,2025-05-07T18:00:02.000160,15.99811475,.0001932,43.0016,112.3519,252.6818,266.4818,0,U,63826,999,173,-.16535E-2,-.873424E-2,.25583E-3
STARLINK-33891,2025-092Z,2025-05-07T18:00:02.000160,15.99924715,.0001949,43.0016,112.3502,253.4966,266.2878,0,U,63827,999,162,-.16492E-2,-.876802E-2,.25795E-3
STARLINK-33903,2025-092AA,2025-05-07T18:00:02.000160,16.00058685,.0001964,43.0015,112.3483,252.5044,267.9354,0,U,63828,999,173,-.16442E-2,-.880863E-2,.2605E-3
STARLINK-33889,2025-092AB,2025-05-07T18:00:02.000160,16.00476236,.0002148,43.0014,112.3432,257.1486,265.3018,0,U,63829,999,163,-.16153E-2,-.886453E-2,.26471E-3
STARLINK-33984,2025-092AC,2025-05-07T18:00:02.000160,16.00211582,.0002064,43.0014,112.3466,256.8573,264.2649,0,U,63830,999,168,-.16451E-2,-.889081E-2,.26537E-3
STARLINK-33940,2025-092AD,2025-05-07T18:00:02.000160,16.00660819,.000208,43.0013,112.3414,253.6861,269.4724,0,U,63831,999,173,-.1638E-2,-.908345E-2,.27728E-3
STARLINK-33978,2025-092AE,2025-05-07T18:00:02.000160,16.00357029,.0002153,43.0012,112.3448,258.0541,263.7568,0,U,63832,999,173,-.16277E-2,-.887124E-2,.26473E-3
